                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6982,                 3.8646,                 1.5447,                0.00238,                0.71528,                0.18583,                0.12497,                 1.7545,                 4.7823,                 1.4495,             0.00064815,             0.00064815,             0.00064815
                      2,                 1.4515,                 2.9821,                 1.3699,                  0.157,                0.15278,                0.09509,                0.05533,                 1.6514,                 3.7576,                 1.6914,              0.0012888,              0.0012888,              0.0012888
                      3,                 1.3727,                 2.5593,                 1.4048,                0.21265,                0.52778,                0.16211,                0.10422,                  1.493,                 3.1063,                 1.5213,               0.001903,               0.001903,               0.001903
                      4,                 1.3336,                  2.174,                 1.3745,                0.69634,                0.36111,                0.44264,                0.32501,                 1.5188,                 2.8838,                 1.5134,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2197,                   1.95,                 1.2714,                0.66884,                0.47917,                0.48954,                0.36917,                 1.3413,                 2.6907,                  1.558,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1933,                 1.7677,                 1.2935,                0.66101,                0.48611,                0.51541,                0.35311,                 1.5059,                 2.0212,                 1.6698,               0.001802,               0.001802,               0.001802
                      7,                 1.1261,                 1.6567,                 1.2703,                0.94987,                0.29167,                0.42574,                0.34624,                 1.4044,                 2.2496,                 1.5889,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1333,                 1.6083,                 1.2583,                0.84298,                0.34028,                 0.4181,                0.38066,                 1.3093,                 5.9828,                 1.5432,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.0308,                  1.435,                 1.1746,                0.64262,                0.49306,                0.51642,                0.41766,                 1.2377,                 1.7713,                 1.3616,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.0886,                 1.4638,                 1.2476,                0.54086,                0.41667,                0.49452,                0.42837,                  1.142,                 1.6767,                 1.3686,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.051,                 1.4622,                 1.2301,                0.77047,                  0.375,                0.47582,                0.39959,                 1.2703,                 2.0076,                 1.4564,               0.001604,               0.001604,               0.001604
                     12,                0.99251,                 1.4103,                  1.187,                0.67666,                0.48611,                0.53588,                 0.4396,                 1.1829,                 1.8264,                 1.3641,              0.0015644,              0.0015644,              0.0015644
                     13,                0.98546,                 1.4026,                 1.1921,                0.74431,                0.44474,                0.53454,                0.47485,                 1.1145,                 1.5747,                 1.3307,              0.0015248,              0.0015248,              0.0015248
                     14,                0.94457,                 1.3554,                 1.1621,                0.69973,                0.47917,                0.52378,                0.44469,                 1.0683,                  1.786,                 1.3232,              0.0014852,              0.0014852,              0.0014852
                     15,                 0.9148,                  1.285,                 1.1432,                0.60701,                    0.5,                0.52401,                0.43412,                 1.1616,                 1.5816,                 1.3318,              0.0014456,              0.0014456,              0.0014456
                     16,                0.92298,                 1.3132,                 1.1468,                0.54699,                    0.5,                0.53118,                0.45407,                 1.0894,                 1.5385,                 1.3482,               0.001406,               0.001406,               0.001406
                     17,                0.90911,                 1.2586,                 1.1326,                0.69819,                0.47917,                0.54827,                0.47279,                 1.0805,                 1.5006,                 1.3175,              0.0013664,              0.0013664,              0.0013664
